"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
25,14,8,7,7,6,7,3,7,10,1,6,6,3,4,5,11,4,7,3,2,3,6,3,2,18,4,2,5,4,5,1,2,8,4,6,6,21,4,2,7,7,3,5,6,3,5,2,2,3
27,18,7,6,7,3,5,2,3,16,4,9,5,7,4,4,9,9,8,3,4,7,8,5,7,22,5,6,2,6,3,3,3,6,3,4,6,29,6,6,6,6,3,3,5,6,7,6,2,8
20,14,11,4,5,6,5,4,5,17,6,3,4,8,1,7,5,13,5,4,4,5,6,1,4,30,5,4,5,8,4,3,8,2,4,5,5,25,5,1,3,7,4,2,10,5,7,6,2,2
18,12,10,8,10,3,5,2,5,13,6,5,2,5,3,5,8,5,2,8,4,5,2,5,11,19,6,0,6,2,6,6,7,6,9,4,2,31,5,4,2,8,6,6,4,6,4,7,5,7
20,14,6,9,10,5,0,1,5,11,6,8,3,9,4,8,8,9,6,7,3,5,3,6,3,33,4,3,6,5,4,7,8,6,2,2,6,25,7,6,4,3,0,4,1,5,2,9,4,4
17,6,6,8,7,3,2,4,6,16,3,6,9,5,3,4,6,4,6,9,4,3,7,5,6,23,2,2,7,5,5,5,4,4,7,6,4,25,1,7,4,5,4,5,3,4,4,5,4,2
25,13,12,6,10,7,6,8,3,8,0,4,7,8,4,7,4,4,1,7,7,4,4,5,2,15,2,1,4,4,6,1,2,6,7,4,3,23,5,8,4,3,2,0,4,3,5,9,4,4
28,7,6,6,8,3,4,7,5,17,6,4,3,7,9,5,10,1,11,4,9,3,0,7,3,18,6,2,5,4,3,2,5,5,4,4,4,26,2,7,3,12,6,5,5,3,4,4,8,2
21,15,12,13,10,3,4,3,12,13,8,2,2,11,9,5,6,4,7,5,5,5,8,4,4,25,7,6,2,5,4,8,5,7,3,5,3,33,4,6,3,5,3,3,7,4,5,4,2,2
17,11,9,13,7,5,4,5,1,13,2,5,4,5,3,2,2,3,4,3,7,5,5,4,5,26,5,7,3,6,2,2,1,7,5,4,6,38,3,8,5,2,3,7,2,4,4,8,5,5
21,13,9,11,5,7,4,5,3,11,3,4,5,6,3,2,10,6,4,4,10,6,4,3,1,25,6,7,5,6,3,1,4,4,4,6,1,33,1,4,5,5,3,7,5,5,12,10,1,8
24,14,11,4,11,4,5,7,4,14,5,9,4,8,6,1,7,4,2,3,2,4,3,3,3,25,5,9,5,5,4,5,4,3,5,6,0,27,4,5,5,3,5,6,6,12,3,4,3,7
23,15,8,5,13,6,7,6,7,7,5,4,4,4,4,4,8,3,5,2,8,1,1,3,3,34,5,8,6,7,7,8,6,7,5,3,7,30,6,2,4,5,4,1,7,3,7,6,1,4
20,8,6,8,6,2,5,6,3,17,5,7,1,5,5,2,8,2,6,3,6,8,8,2,7,23,5,3,3,7,2,8,3,4,5,3,4,26,4,4,6,9,4,3,3,2,4,6,4,2
13,9,6,3,5,3,8,4,5,11,3,6,5,7,2,2,7,2,1,5,5,4,5,5,3,23,3,3,6,6,6,3,4,4,8,3,6,22,7,5,2,5,8,8,6,7,7,6,2,3
24,9,5,9,7,2,3,2,6,9,5,1,8,6,1,5,12,4,12,0,6,6,3,5,3,22,8,7,4,8,1,4,8,3,5,1,5,21,0,8,2,3,5,4,7,3,3,7,3,5
14,12,8,3,7,5,5,6,2,13,8,5,4,6,4,4,4,1,2,3,5,3,5,8,0,28,6,1,5,4,6,2,1,5,1,6,9,33,7,4,4,1,8,3,9,3,5,6,8,10
22,11,4,10,9,5,6,3,4,15,6,4,5,8,5,6,7,8,7,4,5,6,5,6,4,24,2,9,3,5,3,3,7,9,4,4,7,26,4,3,4,4,4,5,3,3,3,6,3,4
22,16,9,9,9,4,3,5,5,13,7,4,3,11,7,4,6,3,3,4,4,4,2,4,8,25,7,9,4,3,4,5,8,3,5,3,6,26,4,4,2,5,4,3,2,5,6,3,3,4
23,3,14,7,10,3,4,1,4,17,5,3,1,6,6,3,8,2,5,4,4,4,9,6,6,24,5,3,5,4,3,2,7,2,6,5,3,26,3,4,5,3,7,3,7,3,5,10,2,1
31,12,11,8,13,8,2,5,8,11,5,3,3,5,2,6,5,6,5,6,5,2,2,8,2,18,5,1,4,3,5,7,3,6,3,4,4,22,3,5,8,2,3,1,1,2,4,3,5,3
19,20,11,7,8,6,8,4,3,21,9,2,7,8,3,1,12,5,4,3,7,1,4,5,7,31,2,5,5,10,9,5,2,4,3,5,9,24,6,3,6,5,3,3,5,5,0,2,3,5
24,21,13,5,4,4,8,5,5,16,8,3,7,3,6,3,8,7,2,4,2,4,4,10,5,27,2,5,6,4,5,6,5,5,8,2,6,22,3,4,0,4,5,5,1,8,3,6,6,1
20,15,6,11,13,2,8,9,9,8,3,2,6,4,2,1,4,2,4,4,4,2,3,4,3,28,5,7,3,5,5,5,6,2,7,3,3,31,2,4,4,2,6,3,8,2,6,5,3,8
13,10,6,5,9,3,7,8,2,18,8,4,3,12,2,3,10,4,5,3,6,5,8,4,6,23,5,6,4,5,3,4,5,5,4,8,5,22,1,6,4,2,7,1,5,3,7,4,4,1
17,11,13,7,5,6,9,9,1,16,0,10,2,7,5,2,6,2,5,6,4,4,7,4,4,24,6,6,2,7,2,4,8,5,3,2,2,23,2,4,4,6,0,6,6,4,3,3,4,3
30,9,5,9,9,5,1,2,3,10,3,4,7,3,5,3,10,6,5,7,5,10,7,8,4,28,7,3,5,6,3,5,4,9,3,6,1,29,7,5,3,5,4,4,3,7,1,1,3,3
22,14,8,9,14,2,6,4,5,11,5,1,6,7,4,7,6,2,7,2,3,8,5,3,2,15,1,3,1,4,3,5,4,4,5,3,4,24,4,4,4,4,3,5,8,5,3,4,5,4
14,9,9,5,7,6,6,7,5,13,4,6,4,10,2,5,1,2,6,4,7,5,3,3,3,25,11,2,3,3,3,6,4,3,1,4,6,28,5,1,3,6,3,5,3,2,0,9,4,3
19,13,9,2,13,6,6,9,3,14,6,4,3,5,6,3,2,5,4,10,5,3,3,5,2,19,3,4,6,3,1,3,9,5,4,5,3,20,6,1,4,6,0,5,4,7,3,6,4,5
23,6,9,5,15,3,3,4,7,7,4,3,6,3,0,1,7,4,3,7,5,9,3,6,4,40,12,5,4,4,7,2,7,4,7,7,10,25,4,6,4,8,3,5,2,7,4,2,1,2
16,13,9,3,12,6,6,8,5,10,4,4,6,10,3,7,8,3,7,5,6,2,2,3,5,25,6,3,6,5,4,5,3,4,6,7,4,33,7,5,2,5,4,1,6,6,5,2,7,6
12,14,9,6,9,4,4,2,3,12,0,3,4,11,5,6,5,5,3,7,4,1,7,7,4,25,3,4,6,4,8,4,1,4,2,3,3,30,6,5,3,3,3,9,3,2,6,3,3,5
18,8,6,6,4,3,2,4,3,14,1,5,4,12,4,5,3,4,2,3,2,4,6,1,7,24,3,3,3,4,6,2,3,4,2,4,5,31,5,5,5,1,6,6,5,8,2,5,9,3
20,10,2,2,6,3,4,11,3,9,4,2,2,6,3,5,6,2,5,3,3,3,0,4,4,26,6,2,3,3,6,4,5,5,8,5,3,23,4,7,3,7,2,3,6,3,4,5,2,5
20,13,10,7,10,7,6,3,2,12,3,2,5,8,6,7,9,6,4,6,4,6,1,7,6,25,9,6,7,4,3,4,1,7,7,6,2,24,7,2,3,4,4,3,4,3,3,6,2,1
16,7,13,4,10,8,6,8,4,18,7,5,1,5,3,2,2,3,1,4,5,5,3,2,6,27,8,5,7,4,6,8,4,4,3,4,3,27,7,2,4,4,5,4,5,9,4,1,4,3
23,15,12,9,11,5,9,6,6,7,4,6,4,4,9,1,4,2,5,7,7,2,7,4,2,24,4,2,3,4,4,6,9,7,3,6,7,16,5,0,1,1,2,6,2,4,5,5,2,5
36,14,6,8,8,2,5,6,2,19,5,4,3,10,8,4,8,4,4,7,4,6,3,7,5,19,8,7,1,6,2,6,7,4,6,6,7,28,9,5,4,5,4,3,2,6,6,5,1,4
23,21,10,11,7,3,4,6,3,12,4,2,4,9,8,7,10,8,2,2,4,6,4,2,5,21,5,6,3,5,6,2,4,4,5,6,5,26,3,3,4,8,5,4,2,7,3,7,7,1
28,9,7,4,5,5,9,6,2,12,3,2,5,6,4,3,6,2,2,3,3,7,6,8,3,26,3,8,1,4,2,4,6,2,7,4,6,31,4,2,5,8,2,6,1,8,3,3,6,7
25,8,10,11,10,3,2,4,3,15,5,6,6,4,6,6,2,4,2,4,6,4,3,3,3,27,4,3,3,10,2,7,5,6,4,2,5,26,4,3,3,5,9,4,1,3,4,2,2,6
25,16,13,9,6,4,3,9,4,12,6,6,7,5,4,4,7,5,4,7,4,4,9,2,6,13,2,3,6,2,4,1,3,3,1,6,3,25,8,3,1,4,6,3,5,2,6,6,4,6
27,13,6,7,9,6,2,3,9,11,4,1,4,7,6,5,8,6,4,7,6,9,3,4,1,25,3,9,3,4,3,2,6,4,2,0,7,33,4,5,4,6,10,3,6,4,7,6,6,5
12,11,9,7,7,3,5,2,2,10,3,2,3,8,0,5,8,4,4,2,7,1,7,6,6,21,6,1,7,4,10,3,7,3,4,2,5,23,2,2,5,7,8,7,2,3,2,3,4,6
13,7,7,9,6,5,4,5,3,10,3,3,5,6,5,2,4,1,5,4,5,3,7,2,5,29,3,6,5,6,7,1,5,6,5,6,10,31,5,7,2,5,7,2,2,8,1,5,7,8
14,14,6,10,9,5,6,2,5,8,4,1,5,6,5,4,3,5,4,11,5,6,5,4,4,26,1,7,3,3,4,3,7,11,7,3,9,31,4,5,5,5,6,5,4,5,6,2,7,5
19,6,10,5,11,6,4,6,7,9,10,3,1,5,3,6,12,7,8,4,2,6,5,2,3,20,5,3,7,4,5,5,6,5,7,4,1,33,1,6,2,9,4,5,6,5,4,3,6,6
15,17,6,6,6,3,9,7,1,7,3,1,5,10,4,8,6,8,2,4,5,2,4,0,3,25,5,10,5,2,3,3,8,7,9,3,2,33,4,5,5,3,5,5,6,2,7,5,11,7
31,16,6,3,6,3,5,2,1,9,2,2,7,9,9,6,3,1,5,2,2,9,3,6,6,17,6,0,4,1,4,4,3,3,2,3,5,24,3,5,6,3,3,7,2,3,6,2,4,6
23,10,6,7,12,3,2,6,4,11,4,4,2,8,4,8,5,3,3,0,4,5,7,2,7,27,4,5,7,2,6,2,4,10,2,3,3,20,4,2,2,3,5,4,3,3,3,3,7,4
25,3,4,13,11,3,3,8,3,12,3,4,1,7,4,4,5,3,4,6,4,1,6,2,8,23,6,6,6,3,5,3,5,7,6,4,8,22,3,3,5,4,3,5,4,4,6,7,6,5
18,9,6,5,8,1,4,9,6,18,2,4,5,8,5,9,5,3,4,9,6,2,2,2,6,21,1,7,7,4,3,3,2,5,5,4,3,32,10,1,0,5,3,2,4,8,6,8,10,5
22,14,6,6,5,5,7,2,2,12,1,3,4,6,5,4,6,7,7,4,2,5,3,3,6,30,4,6,6,4,9,5,6,6,3,5,3,33,3,5,5,11,5,5,6,2,4,3,1,4
21,12,10,10,9,3,6,4,2,17,6,9,0,4,3,2,5,3,6,5,6,5,3,5,7,23,5,4,4,6,3,5,1,2,5,6,12,22,9,6,2,5,5,10,4,3,2,5,4,3
24,12,11,5,11,2,3,6,4,14,4,5,4,6,7,6,6,2,3,6,2,2,8,4,4,33,3,4,4,6,6,5,5,6,6,4,2,27,5,6,5,4,4,8,1,3,7,1,3,6
19,14,8,8,8,6,5,4,2,14,5,3,6,9,9,9,11,3,8,0,7,2,5,3,6,24,3,2,3,5,4,8,7,3,7,5,5,25,4,6,7,5,6,4,6,6,9,4,6,2
20,11,6,7,10,4,4,8,9,13,4,6,4,6,7,1,7,3,6,5,4,3,4,3,4,34,5,5,10,3,6,6,6,5,2,2,4,28,5,5,6,7,4,5,3,6,7,3,4,4
27,13,10,8,10,5,7,4,3,11,3,4,4,8,5,9,3,3,2,6,9,8,5,3,3,24,5,4,2,4,8,8,4,5,3,3,5,31,7,5,3,5,2,3,7,11,0,5,4,3
31,11,10,5,14,5,0,8,7,12,5,7,3,13,4,9,7,5,3,1,4,3,6,2,3,24,5,5,4,7,8,6,2,5,4,5,1,32,5,4,6,3,5,6,6,3,5,9,5,8
24,12,9,6,11,7,2,2,7,11,3,7,3,6,4,7,6,5,4,5,4,8,3,5,7,21,6,6,4,6,5,1,6,4,4,11,4,17,3,4,8,6,3,4,3,4,2,2,5,3
19,12,7,3,11,8,4,2,7,17,4,9,5,7,2,2,5,8,3,3,1,9,5,2,4,32,7,3,5,7,4,5,3,4,4,8,6,22,4,6,3,3,1,3,3,9,6,6,3,8
22,13,10,6,11,10,2,4,3,14,8,6,6,3,5,4,7,7,5,6,5,11,5,7,2,22,11,2,7,2,2,7,7,2,6,6,3,26,5,4,0,3,7,9,4,6,3,5,2,4
15,11,11,7,5,2,5,5,5,10,4,4,6,6,1,4,8,4,5,6,3,3,8,2,1,36,7,4,9,9,5,10,3,6,8,7,5,30,0,5,7,6,4,7,5,0,5,5,7,8
20,12,11,8,6,7,2,3,7,13,4,6,6,5,4,1,2,6,1,5,5,4,6,2,8,28,3,6,7,6,4,4,4,4,5,3,3,23,5,3,2,2,4,4,8,2,4,3,6,4
17,9,6,3,10,5,4,4,6,13,1,5,1,4,1,3,4,3,3,2,2,3,4,9,5,21,4,5,4,6,5,3,3,4,5,3,4,23,3,1,4,2,5,6,2,6,2,6,4,1
21,13,9,16,8,4,3,3,5,13,5,4,5,4,1,7,4,2,5,3,9,2,5,7,3,18,5,3,2,5,6,5,4,5,4,3,2,24,4,11,7,8,4,5,1,5,4,0,4,4
24,9,6,7,9,6,7,6,1,17,7,6,4,7,5,6,4,0,3,6,4,2,2,3,11,24,7,2,7,7,5,6,5,7,4,4,3,18,8,2,6,3,5,5,3,4,2,1,3,4
27,22,11,7,7,5,6,10,4,18,3,4,4,11,3,3,5,9,3,5,4,4,5,3,5,26,3,6,7,5,5,6,5,3,10,3,2,29,4,5,3,5,3,7,5,3,2,2,3,4
23,11,8,8,5,2,4,5,0,14,4,4,3,8,5,1,7,4,3,5,5,2,5,2,5,28,4,5,6,4,7,6,4,4,6,1,6,21,8,9,9,2,5,0,5,3,2,1,4,2
25,8,8,7,6,6,3,2,5,13,8,7,1,9,6,7,5,2,1,6,8,6,3,6,6,20,5,5,1,2,4,3,8,6,3,4,1,17,4,6,3,7,6,4,2,3,6,0,7,3
10,14,9,3,14,3,8,2,9,9,1,9,2,11,3,6,5,2,5,6,2,5,4,2,6,20,2,4,5,5,2,3,4,5,3,2,7,31,3,5,7,6,7,6,6,3,10,3,5,3
20,16,8,7,6,1,3,3,5,12,3,4,7,5,1,2,11,2,6,2,4,3,3,7,2,26,7,2,8,9,2,6,3,6,0,1,6,27,3,4,3,7,7,5,5,6,4,2,3,4
20,25,7,7,8,4,9,3,9,11,6,5,6,10,1,5,11,5,7,4,7,5,4,7,3,17,5,2,2,4,2,3,2,4,3,5,1,21,3,3,5,3,7,4,2,8,2,2,4,4
18,9,6,7,7,3,3,5,4,13,5,3,3,7,3,5,8,4,7,2,4,0,2,9,5,24,4,3,3,5,3,7,6,7,5,5,1,32,6,5,7,4,2,4,6,2,7,5,6,8
16,12,8,11,7,5,6,4,2,13,1,4,2,5,4,4,9,2,6,3,3,7,9,0,2,25,3,5,5,1,4,2,3,3,5,4,7,23,5,6,2,5,3,1,6,1,4,2,10,7
22,16,12,5,8,6,6,5,6,17,7,5,3,11,4,4,9,7,7,3,2,5,5,6,2,23,0,7,3,6,8,2,5,5,2,7,4,25,4,8,5,3,1,3,6,5,2,6,4,6
21,8,4,14,5,7,2,2,2,8,3,4,3,4,8,6,4,6,3,5,6,3,2,4,3,21,6,4,5,3,4,4,3,2,7,5,2,21,2,1,6,2,7,2,2,4,7,4,5,3
14,9,7,3,9,2,3,6,5,15,8,4,4,4,4,3,7,5,4,9,2,7,6,4,7,25,10,2,5,1,8,2,3,5,6,5,2,17,6,5,4,2,2,1,1,5,2,4,1,7
19,15,8,6,6,2,3,3,7,12,5,3,8,3,2,5,6,0,7,5,8,3,6,5,8,33,4,6,4,6,8,1,5,9,1,5,8,27,5,3,7,6,3,5,3,5,2,2,6,8
22,14,13,6,8,5,6,4,7,8,4,7,6,7,1,5,8,3,4,2,7,5,5,9,2,33,6,5,5,3,3,7,7,5,4,8,6,30,6,5,3,5,6,3,4,7,2,5,6,2
19,12,4,9,6,6,5,4,7,7,3,3,4,8,4,7,6,6,3,4,7,7,4,3,4,31,8,4,3,5,4,8,7,4,4,4,4,24,2,8,4,4,2,6,3,3,3,3,4,0
14,16,8,8,4,10,2,1,4,15,3,5,6,11,5,3,6,7,5,3,7,4,3,3,6,20,3,7,9,5,6,4,3,1,4,5,5,25,6,5,2,1,3,6,2,7,3,2,9,4
14,15,7,4,8,4,3,4,3,12,4,3,1,5,3,2,3,7,6,2,7,3,4,2,4,15,1,3,4,4,5,3,1,8,2,5,3,36,5,5,8,6,8,3,3,8,1,7,7,5
22,13,10,6,12,4,5,6,7,13,6,4,4,11,3,7,16,7,8,5,4,5,4,0,5,18,4,2,5,6,5,8,3,6,2,1,5,30,5,3,5,6,5,2,7,3,8,5,4,8
16,15,10,4,7,5,9,3,2,15,7,3,4,5,2,4,14,2,5,4,5,3,0,1,4,23,8,2,4,5,5,2,5,4,3,7,2,21,3,7,9,9,1,1,7,3,0,3,4,1
19,9,5,4,6,4,4,8,4,11,3,4,8,5,5,2,6,4,4,4,3,5,7,5,7,22,6,5,10,1,9,0,7,3,3,6,4,16,5,3,6,2,3,1,5,2,0,1,3,6
22,14,4,6,7,1,4,3,5,14,4,3,4,8,4,4,7,8,6,4,4,5,3,4,3,24,2,3,7,6,2,4,4,5,4,5,6,33,2,2,8,3,9,7,11,5,3,5,4,6
21,16,12,4,5,4,2,4,4,13,2,4,6,6,5,7,5,4,3,7,4,5,6,3,5,26,3,3,4,7,6,5,6,2,4,4,6,32,9,2,4,4,3,7,6,4,4,6,4,4
18,12,5,8,9,5,3,4,3,11,5,3,2,4,6,6,15,4,7,2,5,3,3,8,6,27,6,8,2,3,4,4,2,7,8,8,3,30,9,1,4,6,6,5,6,4,5,3,5,5
17,13,7,4,11,3,5,3,6,9,3,3,2,7,8,1,5,4,2,3,1,3,1,5,3,29,1,0,6,4,9,1,7,4,4,3,9,30,2,1,3,2,6,4,5,5,4,4,4,5
19,16,11,7,8,5,2,2,9,7,3,3,2,3,10,4,8,7,8,5,6,6,7,9,8,16,4,8,2,4,5,1,3,5,3,3,6,22,1,2,8,2,4,5,7,2,3,5,1,6
23,12,5,6,8,1,5,7,5,13,6,5,2,8,7,2,9,6,4,0,1,4,11,2,1,25,8,3,6,4,6,3,7,3,2,3,5,33,6,8,2,8,3,6,5,3,5,4,8,2
29,14,7,9,8,2,1,6,2,16,9,5,2,8,6,7,12,3,4,7,6,2,3,5,2,32,6,4,8,4,5,2,7,3,4,6,11,31,4,7,1,3,5,4,5,6,3,8,3,5
31,14,10,10,3,3,5,5,6,15,3,3,6,7,9,4,6,7,4,2,4,5,5,5,5,18,2,6,3,4,1,3,2,2,3,2,6,22,2,5,2,2,3,4,2,9,6,2,4,1
19,8,7,8,11,5,3,3,4,15,7,2,4,6,0,3,12,6,7,5,3,2,6,8,3,27,4,4,4,4,6,3,3,5,6,2,3,35,6,1,5,8,2,5,4,3,3,7,3,3
23,12,8,10,8,5,5,3,4,18,5,7,2,5,9,2,8,5,5,4,5,5,5,6,6,18,5,1,5,3,2,5,3,2,3,5,3,28,4,4,0,3,5,3,8,5,5,5,4,7
24,12,8,10,2,5,2,3,1,16,9,8,8,12,8,4,6,6,1,4,4,9,5,9,4,33,6,8,7,7,2,1,4,6,6,5,7,24,4,5,2,4,1,4,5,3,2,6,5,3
17,10,9,6,6,8,3,3,2,8,11,1,0,6,5,6,2,7,4,2,2,9,3,2,4,20,8,4,3,8,4,5,5,1,4,5,5,22,6,6,1,5,1,5,7,1,2,5,3,3
13,7,8,9,10,3,4,5,4,12,2,3,4,7,4,7,4,3,3,4,4,4,4,7,3,27,5,2,4,5,7,1,8,2,4,4,3,30,4,7,10,2,3,1,3,4,4,2,6,7
22,18,12,6,4,8,5,13,3,13,3,0,10,6,6,6,8,7,5,2,3,2,6,5,7,22,9,5,4,4,8,4,5,3,4,5,3,25,3,2,3,2,6,3,3,6,4,12,6,3
18,15,8,8,13,4,4,7,4,8,8,1,6,5,1,5,3,2,3,4,5,7,6,6,5,28,8,3,8,3,6,6,6,3,4,4,9,23,1,4,5,3,4,4,4,6,7,4,2,6
24,13,12,7,12,5,4,5,5,12,6,2,2,8,4,8,4,5,2,7,8,4,7,7,5,26,2,4,3,3,6,5,4,5,7,5,5,22,5,1,1,1,6,0,5,7,3,4,6,5
32,16,6,6,12,6,4,6,4,13,5,4,10,8,3,5,6,6,4,5,6,11,3,7,5,32,5,7,1,5,2,5,7,3,6,3,6,26,6,1,7,7,5,4,6,3,2,6,5,2
18,8,11,3,7,3,3,8,3,17,5,6,6,9,5,5,7,4,5,4,2,2,8,1,0,29,4,4,2,3,5,9,6,8,4,2,5,29,7,3,4,2,7,6,6,6,5,4,7,5
15,15,11,5,4,3,7,3,3,21,5,9,3,9,2,4,3,5,2,4,2,3,2,1,8,20,6,7,3,0,3,4,1,5,3,3,8,24,6,6,4,3,7,5,5,3,2,6,3,1
26,11,5,5,12,3,6,6,2,18,8,2,4,5,8,4,10,3,10,3,0,1,4,5,9,36,8,3,2,3,5,6,6,4,6,3,6,20,4,0,7,3,7,3,2,6,2,1,3,2
18,11,7,7,12,4,2,7,4,22,5,4,3,9,7,1,5,7,5,12,6,5,3,6,4,32,5,3,3,4,1,10,2,7,6,4,9,40,6,9,6,7,5,7,5,9,7,7,3,4
20,9,9,5,10,6,8,5,2,24,8,7,1,9,4,4,8,5,4,7,2,3,6,8,6,18,6,5,6,4,5,2,5,4,1,1,6,36,6,6,2,5,8,9,7,4,4,5,7,6
15,17,17,5,10,13,6,7,7,12,7,6,4,10,5,5,6,3,5,1,3,5,4,3,5,32,6,3,9,8,7,5,6,4,2,4,2,22,6,4,6,7,3,2,5,6,2,2,4,1
20,16,11,4,8,3,4,5,2,15,4,4,5,9,4,7,7,2,3,3,4,4,6,0,7,23,1,2,2,7,4,2,6,8,4,10,7,24,3,3,4,4,2,7,7,5,5,3,2,3
22,13,4,13,7,6,9,3,4,9,4,4,4,5,5,4,8,7,4,6,8,5,5,5,3,26,2,4,6,6,5,2,4,2,4,5,7,33,8,3,6,4,4,4,9,4,4,3,7,8
19,9,9,3,6,7,1,6,6,12,2,4,5,6,5,7,6,4,8,1,4,5,4,4,5,21,3,5,6,0,3,3,2,5,5,5,4,33,4,2,10,3,4,6,4,3,6,10,5,8
18,12,13,6,8,8,4,3,6,11,6,5,5,2,7,6,10,5,6,4,3,1,9,7,5,23,11,2,4,3,6,5,3,4,3,4,5,30,3,6,7,6,6,6,2,4,6,1,7,6
22,14,6,3,6,4,4,5,1,17,4,6,5,6,2,3,8,5,5,7,4,2,2,4,6,26,5,5,4,2,4,6,3,3,7,1,9,31,2,4,4,3,4,4,2,5,5,9,9,5
25,19,11,10,5,3,4,4,1,10,6,3,11,9,9,5,7,7,4,0,7,7,5,6,4,27,5,3,3,6,6,4,6,5,7,1,5,22,4,4,3,2,7,3,5,4,8,2,3,4
24,18,18,9,11,6,7,6,3,16,9,4,5,5,5,7,2,1,2,8,3,1,6,5,5,22,6,0,1,2,7,5,3,5,2,3,4,35,9,5,2,2,3,4,9,7,4,8,2,4
24,8,7,6,12,3,3,5,2,11,0,7,3,4,7,7,6,6,6,4,5,7,2,5,2,25,3,2,6,10,6,7,1,6,7,7,4,26,2,5,8,1,9,5,2,1,7,6,5,4
18,9,11,5,11,5,3,6,3,12,3,7,1,7,10,9,2,5,3,5,4,2,3,1,2,20,8,3,5,4,3,5,2,9,6,2,4,26,4,4,3,6,5,4,5,5,2,3,6,7
20,10,11,4,6,3,2,2,4,12,3,6,5,2,5,2,1,1,3,3,2,6,6,2,4,26,5,4,3,1,4,7,8,6,3,3,4,20,6,4,3,5,3,4,4,3,3,4,6,7
18,15,10,7,5,3,3,6,3,13,7,4,3,5,4,5,3,4,2,7,3,5,9,4,3,22,6,3,4,7,6,4,6,2,4,6,4,35,2,6,6,5,2,5,7,9,10,4,4,5
19,7,14,8,9,5,2,4,8,11,1,1,4,4,4,2,13,4,8,5,7,3,9,4,4,33,3,4,7,4,5,3,10,5,6,6,3,25,4,3,5,5,9,3,4,8,6,4,2,3
33,14,11,10,4,4,6,9,2,15,3,6,1,3,6,4,11,5,4,7,5,6,6,4,5,12,2,3,7,4,4,3,3,4,4,3,2,26,5,3,5,4,4,5,2,7,3,7,7,2
31,12,11,7,11,4,6,3,6,20,4,2,2,9,3,4,9,3,8,9,4,5,10,6,9,14,2,3,1,1,4,1,5,5,2,4,7,28,3,6,5,3,8,6,2,4,2,6,6,6
24,11,12,8,7,11,1,5,5,16,4,5,3,7,7,4,5,4,1,4,9,6,3,7,4,27,1,7,0,8,1,5,7,6,6,6,2,30,5,4,7,6,2,3,3,5,5,6,4,5
27,10,8,8,11,6,8,6,7,7,1,3,3,6,5,4,6,6,4,6,7,4,7,8,3,22,2,4,2,7,5,2,4,8,3,1,1,21,4,4,2,2,1,7,6,6,6,6,6,2
31,18,11,8,8,10,4,5,3,15,5,4,4,6,5,5,10,5,7,7,3,6,6,10,3,22,2,3,5,9,5,4,1,4,6,9,2,25,5,3,4,3,7,9,8,3,3,7,3,5
20,16,3,9,8,0,4,4,3,12,3,7,8,9,5,8,2,6,4,5,9,6,5,4,3,29,4,8,9,9,9,3,6,2,2,1,6,25,4,5,4,3,5,4,4,3,2,8,4,4
16,8,8,7,7,2,6,3,7,11,3,2,3,6,3,6,8,1,5,7,7,3,5,6,4,30,4,8,3,8,2,6,0,5,7,9,5,19,3,2,4,3,3,2,3,3,6,4,7,3
23,12,6,7,11,3,3,4,3,23,7,4,3,11,5,9,5,7,7,9,5,1,3,7,7,30,2,4,6,5,11,5,4,7,2,8,6,29,5,5,4,5,4,3,7,5,4,7,3,0
15,5,7,4,9,5,2,1,2,6,6,4,4,3,6,2,5,4,5,4,4,7,7,2,1,28,5,4,7,4,7,8,4,5,6,5,3,24,1,0,8,5,4,5,5,1,5,3,3,6
11,10,8,3,5,3,4,1,4,5,3,5,7,7,5,5,6,3,5,2,2,4,5,5,5,23,3,4,1,6,4,7,2,5,2,6,3,20,3,3,2,3,3,3,8,5,4,5,6,3
12,11,8,4,5,6,7,2,3,10,3,6,6,6,5,4,6,2,4,2,4,5,7,4,3,28,2,3,4,5,6,5,3,8,5,3,9,19,1,3,5,1,2,7,2,5,7,5,0,6
27,17,8,3,11,10,10,8,7,17,7,5,8,6,2,6,7,4,3,4,1,4,6,6,5,22,4,6,3,5,7,4,4,9,6,3,4,32,5,5,3,6,11,3,5,9,3,7,8,4
16,22,7,9,6,4,9,3,3,12,1,2,4,7,3,8,2,9,3,3,10,5,2,4,6,28,4,6,6,6,7,3,7,6,5,5,5,32,4,1,6,1,5,3,6,8,5,2,4,14
17,9,6,8,9,2,6,4,8,11,7,3,0,10,7,6,6,8,5,1,3,5,7,5,4,23,2,7,2,9,5,7,4,2,6,4,3,21,2,7,6,5,5,7,6,3,2,1,3,3
14,13,8,3,7,5,3,1,4,17,3,6,5,7,1,3,6,3,4,5,1,4,3,5,7,31,5,6,4,7,5,6,4,4,6,4,7,31,6,6,5,1,7,3,3,3,11,6,3,6
23,13,9,7,11,6,4,5,4,9,2,2,2,4,5,6,8,4,5,1,3,2,6,6,2,20,4,5,2,5,3,12,6,4,2,4,4,33,4,2,7,6,5,2,4,4,7,7,4,6
