"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100"
21,9,14,11,11,10,13,6,11,10,5,19,11,1,5,4,5,10,4,2,8,11,2,5,6,12,5,7,6,2,3,6,4,3,8,3,4,6,7,9,3,5,5,5,3,5,3,1,4,3,37,2,7,4,7,4,1,3,2,5,4,7,6,3,8,4,29,3,7,3,4,4,5,3,10,2,8,7,6,5,3,2,6,34,8,7,4,5,5,4,4,2,5,4,4,5,1,3,4,6
13,9,6,5,9,6,6,3,9,4,3,15,9,5,12,9,3,3,6,9,4,7,4,3,12,14,4,9,3,4,9,0,3,6,12,8,3,4,3,3,2,4,1,5,6,4,6,3,1,3,34,5,3,5,5,5,3,5,5,2,1,2,2,11,3,8,28,4,8,2,2,3,6,6,7,1,6,4,2,4,7,4,7,34,4,4,4,5,4,7,4,2,4,4,5,6,5,3,0,5
12,6,10,8,4,8,5,6,4,6,5,11,13,4,5,5,6,3,7,6,5,9,5,7,14,10,8,4,6,5,7,4,8,7,9,4,8,7,4,9,3,4,3,5,9,2,6,3,1,3,35,3,7,7,5,5,3,5,4,5,3,6,9,3,4,2,34,3,6,2,7,5,10,4,3,2,5,7,5,2,5,6,4,31,4,4,5,4,6,6,2,4,4,2,4,4,5,4,6,1
14,7,7,9,6,4,9,2,3,10,5,15,12,8,6,3,13,5,8,4,6,6,5,2,7,8,5,6,6,2,3,9,4,5,3,5,3,7,12,4,6,7,8,3,1,7,6,7,3,5,35,5,8,5,4,7,5,3,4,3,4,2,5,2,2,2,38,2,8,5,9,5,3,2,4,3,5,1,6,1,1,5,4,26,4,4,3,3,4,2,7,10,4,3,5,5,3,5,5,1
16,10,7,7,9,2,7,3,10,4,1,12,12,3,10,10,9,1,10,2,7,4,6,5,11,4,4,5,5,3,6,5,7,5,10,5,7,5,10,3,4,6,7,2,5,5,2,5,8,4,37,5,7,4,8,6,4,5,4,5,8,2,3,3,4,5,31,5,4,6,4,4,3,4,8,6,5,1,3,7,3,4,5,27,5,3,2,3,3,3,5,4,4,2,4,6,4,5,4,3
19,7,12,10,5,7,12,3,5,13,6,11,14,3,11,5,5,7,6,2,8,4,5,4,2,3,2,5,4,2,2,9,9,5,9,5,4,2,8,4,1,4,4,3,6,6,3,1,6,6,33,5,6,4,3,5,3,5,2,6,4,1,1,7,8,8,48,10,6,4,4,5,4,5,9,6,3,4,1,3,5,4,6,42,5,3,6,2,3,6,6,8,5,6,7,4,8,4,3,2
18,9,10,12,11,12,12,2,5,4,8,12,15,2,2,1,9,3,11,4,5,5,7,2,4,7,5,6,3,7,2,4,3,5,9,3,9,4,6,4,3,4,2,5,5,3,7,4,2,2,20,6,4,3,3,5,1,1,5,2,2,3,4,7,4,4,28,6,5,11,6,6,7,4,5,1,6,5,3,3,6,3,6,40,1,4,3,4,4,3,5,4,11,3,7,6,3,4,5,3
15,7,11,5,6,8,7,3,7,14,6,14,17,2,8,8,11,2,11,4,4,12,5,6,7,5,7,2,5,5,2,8,7,10,3,2,7,2,9,4,3,11,1,3,4,8,9,5,6,4,31,3,3,4,4,6,2,6,2,6,7,1,2,4,4,4,31,3,5,1,5,3,5,5,4,3,4,4,1,4,3,3,9,37,6,4,5,7,3,6,4,2,7,2,4,5,6,1,5,3
15,4,10,6,7,6,3,5,5,9,4,9,12,4,7,4,10,6,5,3,6,6,8,6,12,7,4,5,7,4,7,6,6,5,4,1,5,5,9,4,2,10,10,4,6,1,1,3,5,5,35,4,4,10,3,5,3,3,6,8,5,4,7,2,4,2,54,5,2,1,4,7,9,8,6,4,6,7,6,11,9,11,4,34,7,5,8,4,6,4,3,5,3,7,5,3,4,3,10,1
20,10,7,11,3,13,12,11,12,7,4,14,11,3,9,3,12,6,10,7,6,6,3,3,8,5,2,7,7,6,5,8,6,2,3,4,7,4,8,4,5,7,7,7,7,3,4,6,1,0,34,2,2,4,3,4,8,2,2,4,4,7,3,5,2,5,27,1,2,5,2,3,2,5,3,3,5,3,5,2,6,2,5,31,6,3,6,6,3,3,2,5,9,4,4,4,3,3,5,5
14,7,8,10,7,14,11,5,10,6,7,12,14,6,7,5,21,2,6,4,9,5,6,7,12,7,6,5,3,2,7,6,6,6,6,6,5,5,7,3,9,5,4,3,3,8,2,2,6,5,35,4,3,4,10,3,8,3,3,6,3,6,4,9,3,1,25,3,2,4,4,7,3,5,2,2,8,3,3,4,1,4,4,33,6,5,3,7,6,1,2,6,5,1,4,8,5,3,4,3
12,5,6,6,3,2,7,1,6,11,3,15,18,2,8,7,10,6,10,1,9,11,3,6,6,3,10,4,10,7,4,8,6,5,7,6,2,5,6,2,6,4,1,6,11,5,6,6,6,3,33,2,3,7,5,3,4,2,4,5,3,5,5,6,4,4,32,6,3,2,7,5,4,2,2,5,4,2,6,6,5,3,5,31,2,3,3,10,2,4,3,8,5,5,6,3,1,3,4,2
14,4,7,11,3,11,6,3,10,9,7,15,20,6,7,3,12,6,10,4,3,8,6,2,4,4,7,4,6,5,6,4,5,5,6,6,5,5,17,1,5,5,6,6,4,2,6,3,2,3,34,2,5,2,4,5,3,5,5,4,3,3,6,5,6,3,26,4,8,1,6,8,4,6,6,3,5,6,0,3,6,3,4,32,0,3,4,4,3,9,5,4,3,10,8,3,5,4,2,4
13,8,6,8,7,9,12,2,8,10,7,8,9,3,7,5,10,5,11,2,5,9,8,3,13,13,7,11,7,6,6,12,1,4,10,1,2,6,11,3,5,6,6,2,6,4,4,7,5,4,26,6,8,3,5,3,2,3,3,7,9,1,3,2,0,7,29,5,0,4,3,4,2,3,4,3,3,4,5,7,5,5,4,39,3,5,6,6,4,4,4,6,5,3,3,7,4,3,1,3
12,4,7,15,5,11,7,5,4,14,4,12,23,1,2,4,8,1,8,6,9,7,7,2,6,6,5,9,10,4,2,2,11,6,7,6,3,5,10,6,3,4,7,4,4,4,7,3,3,8,18,3,7,4,3,7,2,5,1,1,3,6,3,2,3,3,21,5,3,3,3,2,4,4,1,1,4,5,3,0,4,1,5,34,2,7,5,3,4,3,7,6,4,7,7,6,6,2,2,0
16,2,11,15,4,12,8,7,3,12,6,10,18,3,10,9,11,2,12,7,6,6,5,7,13,10,8,6,5,7,5,5,6,2,6,0,4,1,7,5,4,3,4,4,7,6,3,2,2,7,26,2,4,10,6,4,5,3,4,4,8,4,5,4,2,2,28,8,8,3,2,5,3,2,2,3,5,5,6,0,1,1,1,29,3,6,3,4,4,4,6,5,4,4,3,2,5,6,5,2
12,5,11,12,8,10,6,6,4,12,5,10,12,1,6,7,7,3,7,3,6,5,6,4,10,4,9,4,10,3,5,3,5,5,2,4,5,6,8,3,4,9,6,0,5,4,4,2,2,4,38,3,5,3,2,7,5,4,4,7,1,5,9,8,1,4,31,6,7,5,4,4,3,6,5,1,2,6,6,6,3,5,7,36,7,2,3,4,1,7,4,5,2,7,6,6,5,2,4,4
18,5,8,4,4,8,9,4,5,12,3,13,9,3,4,5,2,4,6,1,6,6,3,5,9,6,7,3,8,3,9,2,3,1,4,6,5,5,6,3,4,8,4,2,4,2,5,3,5,4,34,8,2,3,2,5,3,5,5,3,3,2,7,2,3,10,36,5,5,3,5,6,7,4,1,4,7,6,5,6,2,5,6,51,8,5,3,9,6,9,7,9,4,5,4,4,5,3,8,3
12,7,4,6,6,5,12,5,8,7,2,14,9,5,7,5,15,6,6,5,4,9,9,4,12,8,3,8,7,1,10,7,2,4,3,2,4,6,5,4,3,7,6,5,2,4,6,9,6,6,39,4,3,5,5,4,8,2,6,7,4,4,4,8,8,2,39,5,7,8,4,5,3,5,11,4,8,4,5,3,9,6,4,28,9,5,3,7,6,4,6,4,1,5,2,5,2,3,2,6
11,4,7,7,11,8,10,4,8,5,5,8,8,4,6,9,10,3,11,5,9,8,8,7,8,7,4,4,7,8,6,8,3,5,5,3,7,6,10,5,6,11,2,5,4,4,2,2,7,4,30,6,8,6,3,3,4,4,4,6,5,3,3,6,3,4,34,1,3,6,9,6,2,3,2,4,5,5,8,3,5,5,4,29,7,1,2,3,5,7,6,3,2,6,5,5,4,3,7,6
14,7,6,7,9,11,10,5,9,8,4,12,17,7,5,6,7,8,9,8,3,8,8,4,5,7,10,4,9,7,1,10,2,9,5,3,8,5,8,6,4,7,2,1,1,4,3,3,6,4,34,5,7,7,2,8,9,2,5,2,5,3,4,2,4,8,29,9,7,8,2,5,0,5,5,5,6,6,5,1,6,6,0,30,2,7,8,2,4,6,3,7,4,3,9,1,3,8,8,4
12,8,6,10,5,8,8,6,6,2,3,12,14,2,3,2,17,5,9,1,6,5,7,2,5,7,5,10,5,7,2,4,4,5,7,3,3,4,10,11,5,4,8,3,3,7,5,3,0,4,35,4,4,7,5,6,4,3,7,7,6,4,3,4,4,1,39,4,4,5,4,4,4,6,9,3,4,4,4,9,5,4,4,29,5,3,4,5,5,4,6,2,9,5,4,7,5,4,7,1
15,10,9,8,7,12,10,3,6,7,4,11,13,2,2,5,9,3,6,5,4,5,7,4,13,10,5,5,6,3,7,2,2,5,6,3,2,4,10,6,3,8,5,3,4,5,3,6,2,6,36,4,1,3,8,3,6,6,4,1,2,7,3,5,4,5,25,3,3,3,4,6,8,4,2,5,6,4,3,5,7,3,2,38,6,11,8,4,2,1,2,6,6,9,6,6,5,5,5,3
11,10,8,6,4,10,5,5,5,6,5,13,14,4,3,7,14,4,7,2,5,9,6,4,6,2,2,7,2,2,5,7,7,5,4,7,4,1,9,7,1,6,2,3,4,6,5,7,4,5,31,1,2,4,3,5,2,5,3,6,2,6,0,6,7,6,32,5,2,7,2,7,9,3,4,4,6,4,7,8,1,5,3,44,2,7,6,8,7,4,8,2,0,3,5,6,5,2,4,7
12,7,7,8,4,9,5,6,7,9,2,16,12,6,1,5,15,6,7,6,2,3,6,1,8,4,1,7,6,3,7,4,2,5,3,11,7,5,5,7,3,4,3,4,5,3,4,7,2,2,34,5,7,1,9,5,3,1,2,3,5,5,1,5,2,6,38,6,2,5,4,4,4,5,6,6,4,3,3,6,7,4,4,32,4,6,4,3,3,4,1,10,5,3,3,2,1,12,3,4
18,9,11,6,12,8,15,1,9,9,7,16,12,4,8,5,12,3,11,4,7,9,11,6,3,6,6,10,0,4,3,2,4,5,9,5,8,1,6,8,6,4,6,5,4,8,8,1,4,2,30,3,4,9,4,4,5,4,3,5,7,6,6,4,5,4,44,7,9,4,1,7,6,4,3,4,2,4,4,5,6,6,5,34,5,3,3,1,4,5,8,3,6,5,5,4,5,3,4,3
7,5,6,14,3,9,9,1,4,10,6,16,18,5,5,4,14,8,8,5,11,7,5,2,12,7,5,6,8,7,4,6,7,6,6,5,2,7,9,7,6,5,6,5,2,7,4,6,7,5,37,4,5,3,5,2,5,7,3,6,6,4,6,2,3,11,30,5,2,3,2,6,1,3,6,1,10,10,5,4,5,3,4,34,5,3,5,2,5,7,3,7,3,7,1,3,5,5,5,3
13,9,8,10,5,16,7,4,14,10,4,10,26,5,9,6,4,1,3,6,6,13,2,2,7,8,4,4,3,2,8,8,6,11,8,3,2,2,12,5,4,8,5,8,5,2,7,4,6,0,32,1,4,2,4,1,6,6,5,5,5,3,7,5,3,2,44,7,5,7,3,5,2,9,5,6,2,3,4,4,3,9,3,35,3,4,3,2,8,4,4,3,2,5,4,3,7,2,5,10
19,8,10,5,10,12,11,3,9,5,10,11,22,4,5,9,18,3,8,5,9,5,8,10,11,4,3,9,10,1,4,10,7,6,3,4,8,6,10,2,2,6,5,3,3,8,3,9,5,2,29,6,0,5,7,8,6,8,2,4,7,3,4,4,5,4,30,5,4,5,1,5,1,5,2,9,3,3,4,3,5,4,6,37,4,2,3,4,5,7,8,8,5,4,2,8,7,5,7,2
14,4,7,8,4,9,2,5,1,13,8,8,13,7,7,6,12,7,5,4,6,5,10,7,6,11,5,5,13,5,2,7,4,4,10,3,5,8,4,5,2,3,1,2,3,8,2,2,6,5,39,2,5,1,4,3,7,10,4,7,4,5,5,4,8,3,38,4,3,7,6,6,3,1,6,2,8,4,6,2,7,8,4,36,2,8,5,3,5,1,4,9,4,6,4,6,5,5,5,6
13,3,9,9,7,8,8,5,4,11,3,13,11,6,7,13,15,3,8,4,9,7,7,5,9,8,3,7,6,3,1,5,3,9,4,4,12,9,9,3,3,6,1,8,6,8,1,7,4,3,29,1,6,3,9,3,2,6,2,7,6,4,5,3,5,3,34,9,4,5,1,5,2,5,7,5,6,6,8,1,4,7,1,40,5,8,4,3,4,2,6,8,2,9,6,4,4,6,1,7
17,9,8,12,5,7,8,5,5,4,4,15,13,11,14,6,8,7,7,7,4,3,3,3,11,7,2,5,8,6,2,9,1,7,8,4,5,5,10,5,5,7,5,3,6,2,1,7,6,3,26,5,5,5,1,8,0,3,3,5,6,5,1,6,5,3,35,6,6,3,3,7,5,5,2,4,5,5,6,5,6,4,4,46,2,5,7,7,5,3,7,6,7,5,6,3,3,3,4,5
14,7,6,4,6,10,11,4,13,8,6,16,15,6,10,5,14,4,6,9,5,10,6,4,12,7,4,8,7,5,1,7,3,7,9,3,3,3,9,9,7,8,3,8,5,3,6,2,5,3,40,5,3,7,8,1,4,4,5,8,4,2,6,4,5,5,31,6,8,4,2,4,7,3,3,2,11,3,5,5,2,6,2,20,5,2,4,5,2,3,5,3,2,4,1,3,6,5,4,4
22,8,8,13,7,14,15,6,12,7,6,12,7,4,8,10,10,8,6,2,4,10,8,5,7,8,4,6,5,6,4,6,2,9,8,5,4,4,4,4,7,8,1,1,6,6,4,4,2,5,41,5,6,4,2,7,5,2,3,4,7,6,5,7,4,2,32,6,4,3,1,4,7,5,6,5,6,4,7,5,4,2,4,31,4,5,0,2,2,3,5,8,4,5,2,3,3,6,4,3
11,6,9,7,8,8,7,3,8,11,5,9,20,6,5,17,12,3,8,10,7,6,4,5,10,8,2,4,12,7,3,7,6,4,10,2,4,7,7,3,3,5,4,7,7,3,5,4,3,2,29,6,4,3,3,4,2,6,6,4,3,7,3,6,4,5,35,4,4,3,5,4,6,1,4,3,4,5,3,7,2,2,5,35,7,4,5,4,7,1,5,7,11,4,3,2,2,3,7,1
9,8,9,10,5,8,14,4,5,6,3,13,12,8,4,4,16,3,9,6,6,5,6,4,8,7,2,6,9,2,5,6,6,11,8,1,1,4,12,8,7,5,2,5,5,5,3,6,2,4,35,5,2,8,4,4,4,4,5,4,8,3,2,6,0,7,37,3,5,3,1,7,4,2,5,1,4,5,5,3,2,7,4,40,5,6,3,7,6,5,5,6,5,3,3,4,4,4,5,5
14,13,14,4,4,9,7,3,3,9,9,7,11,5,8,10,14,2,9,5,4,6,6,3,3,3,3,6,4,5,3,5,1,5,7,2,2,0,6,8,3,4,10,2,4,6,5,5,2,3,26,11,4,6,3,5,4,1,3,5,3,2,3,3,6,3,40,12,5,2,4,8,5,6,7,1,7,7,2,7,6,2,4,26,5,1,3,2,7,7,3,2,7,7,4,4,4,6,5,5
18,7,6,11,6,16,5,2,6,6,12,14,20,2,5,8,12,8,9,6,4,5,5,2,4,5,3,5,7,1,3,9,9,7,5,4,1,5,11,7,5,6,4,5,3,6,3,4,3,3,35,3,3,7,4,5,3,6,5,8,2,4,3,8,9,4,42,3,8,4,4,5,9,4,4,5,6,4,6,6,4,9,5,40,3,9,6,8,4,3,2,3,4,4,4,5,10,4,1,6
19,9,5,9,7,10,4,4,13,9,7,11,12,3,9,4,9,5,8,3,7,4,4,3,9,6,5,1,8,7,6,8,4,6,7,6,5,2,6,3,4,5,4,4,4,2,2,6,7,4,30,2,2,4,5,3,4,4,6,5,6,6,6,2,5,3,28,3,5,5,3,1,4,6,5,5,4,3,3,5,6,4,5,35,8,2,4,4,1,1,4,2,6,5,4,4,3,5,9,6
19,3,2,8,7,9,7,5,5,11,2,14,11,3,7,5,15,6,8,6,12,8,10,4,12,11,1,8,5,4,10,8,6,7,9,4,7,2,7,6,4,3,4,9,6,4,7,7,7,1,37,2,4,6,0,3,4,4,3,8,3,5,7,3,6,6,32,4,6,5,4,3,6,5,1,7,2,2,1,4,4,5,4,29,5,5,2,3,1,4,9,7,5,2,3,4,5,6,4,3
15,5,5,9,4,8,6,3,6,7,4,13,15,1,6,10,8,4,9,2,5,8,7,5,9,6,4,5,8,5,4,11,9,4,7,6,1,3,8,1,5,5,5,1,7,4,3,5,7,1,36,3,6,2,4,5,1,4,5,5,6,8,5,4,4,2,27,2,5,4,3,11,4,2,3,4,5,2,5,4,5,2,5,26,4,5,5,4,5,7,0,3,3,5,8,4,3,6,3,4
17,2,8,13,8,8,15,6,5,8,6,13,16,4,5,7,11,2,13,6,4,5,3,4,5,3,7,3,10,7,3,8,7,3,6,0,5,6,10,4,4,8,5,3,3,4,4,4,6,5,40,3,7,5,2,6,1,13,3,4,11,3,1,5,0,6,36,4,7,5,5,2,10,5,3,4,5,6,3,1,2,2,4,35,3,1,2,3,4,4,7,4,5,4,9,7,3,6,5,7
13,7,11,6,9,11,5,5,11,9,2,19,21,0,6,5,9,3,9,10,3,10,4,6,8,7,5,5,4,3,10,8,6,6,6,8,3,4,4,6,5,5,1,2,3,4,4,4,8,3,31,5,2,4,5,3,4,3,2,10,5,4,4,2,6,5,42,6,6,3,7,10,8,5,4,8,4,3,3,2,10,5,4,32,9,1,6,9,4,6,5,7,3,6,4,5,4,6,4,5
11,5,7,9,7,14,7,3,3,10,4,10,10,1,3,7,10,6,12,7,5,7,12,4,10,8,2,6,6,5,3,8,6,4,8,2,6,0,11,5,4,8,6,4,6,3,5,3,1,6,33,7,4,6,3,6,5,5,3,3,6,10,6,2,7,5,28,3,3,8,6,5,2,4,4,2,5,3,2,4,3,3,3,36,7,5,5,6,2,4,5,2,4,2,5,5,5,3,9,5
12,6,11,7,5,5,9,2,3,5,3,9,12,2,7,3,10,0,15,3,8,8,7,1,6,6,3,6,9,6,4,3,6,6,8,3,4,4,9,4,4,11,6,2,7,4,5,5,6,3,26,3,6,6,9,8,3,3,2,3,4,4,3,4,1,3,37,4,6,3,3,7,5,4,2,3,5,8,4,6,4,8,4,39,5,11,0,3,6,5,7,2,6,5,6,2,7,2,0,4
17,9,13,11,11,14,12,5,8,12,7,14,18,6,5,8,6,4,16,5,6,8,4,7,12,6,5,9,7,4,6,7,2,5,11,7,5,4,11,5,5,4,3,2,6,4,6,3,5,3,24,2,2,5,7,4,2,5,9,3,4,4,3,2,4,1,30,6,3,3,5,5,5,1,6,2,4,3,5,2,6,6,5,51,6,4,5,3,7,5,6,4,5,8,5,6,3,4,9,7
15,10,9,12,2,7,10,5,7,12,5,15,13,4,8,8,13,5,4,3,8,5,4,6,11,9,7,7,7,6,6,5,2,4,6,2,5,4,5,4,3,8,4,6,8,8,7,7,3,3,23,4,2,2,2,4,4,5,2,5,7,8,3,3,4,1,32,2,4,5,5,3,6,3,5,1,1,6,7,6,4,4,5,23,2,3,4,6,3,4,3,12,1,5,1,9,3,3,5,6
11,8,16,9,8,8,7,2,10,8,1,9,10,1,6,6,10,4,14,4,2,1,7,4,5,6,7,7,4,5,4,4,1,3,6,2,2,5,9,4,4,7,5,2,4,2,4,2,2,8,33,2,5,3,7,3,3,2,4,2,4,4,7,4,5,5,36,5,4,6,2,7,5,7,7,3,5,6,7,4,2,3,4,35,4,2,6,4,7,5,4,5,1,7,2,2,1,5,3,2
16,9,9,10,10,9,9,2,11,9,5,15,18,3,9,5,11,5,11,5,11,10,7,8,8,6,8,8,11,3,4,5,7,7,6,4,5,4,5,6,12,6,7,5,8,6,7,5,0,3,39,2,1,4,5,3,4,7,9,6,6,4,6,6,3,4,41,3,4,5,4,2,4,2,9,6,2,5,5,5,4,4,6,40,6,6,5,4,4,3,6,3,6,4,3,5,5,6,7,9
12,11,11,10,5,6,5,1,5,10,5,11,11,3,5,5,11,6,9,5,7,2,7,4,9,10,8,7,9,3,4,5,5,6,8,4,5,5,8,7,3,13,2,3,2,5,4,3,2,5,27,6,8,5,5,1,0,4,7,0,7,2,2,5,4,5,44,5,1,2,4,1,9,8,7,5,8,7,4,5,3,6,6,25,0,1,4,1,3,4,3,5,4,8,4,2,7,2,3,3
13,9,8,7,11,4,7,4,9,6,3,11,14,7,4,4,10,3,8,4,9,6,4,2,8,4,2,4,4,7,5,9,6,8,4,10,3,6,9,2,9,6,5,3,5,3,2,7,7,1,26,4,2,6,5,5,4,3,8,4,10,4,6,4,3,2,31,4,4,11,5,5,4,4,5,1,2,5,3,8,5,1,5,28,7,5,3,4,3,2,6,6,3,4,3,3,4,1,3,7
8,7,8,7,6,8,10,3,9,12,4,18,20,3,8,11,13,5,11,7,6,11,7,4,6,2,2,7,12,4,0,5,5,7,9,8,5,9,7,7,5,5,4,7,7,3,12,7,6,5,25,3,0,5,2,3,7,2,3,3,5,4,4,3,5,4,40,4,0,4,9,4,7,1,6,2,2,3,4,4,4,10,5,34,7,4,4,5,5,4,6,4,5,2,5,3,2,4,3,6
13,7,11,6,5,6,4,9,10,9,3,9,11,10,2,6,8,5,8,6,9,6,6,3,4,5,0,6,10,3,3,2,4,4,4,9,7,3,6,7,6,7,6,3,4,4,4,6,3,9,29,5,5,2,3,4,8,5,4,1,3,5,8,4,6,5,25,9,1,3,5,1,1,4,5,5,5,5,3,6,5,3,4,40,5,0,7,9,4,3,3,3,3,7,6,4,7,4,9,4
17,9,11,6,7,4,9,3,6,6,6,20,13,4,7,6,9,3,9,5,3,13,5,5,7,6,3,3,6,5,3,1,1,9,4,5,4,1,11,4,3,6,7,2,7,4,5,7,2,5,28,4,3,4,1,3,6,5,6,11,2,2,6,2,2,0,32,5,3,5,4,5,3,4,5,3,5,6,7,3,2,4,6,33,4,6,4,5,4,5,4,6,6,4,4,4,3,2,3,5
16,5,8,5,5,11,9,4,6,7,6,10,21,5,12,10,7,3,8,10,7,5,8,5,8,7,7,10,8,3,2,3,2,7,7,2,4,6,13,7,2,5,6,7,3,5,4,0,3,7,24,6,5,4,5,3,4,3,2,2,1,4,4,2,4,4,23,4,3,3,3,3,1,7,5,4,4,2,5,2,2,2,2,28,9,3,6,3,8,4,3,5,4,5,6,6,4,2,3,2
12,3,9,3,9,8,11,4,11,7,5,19,12,4,8,9,10,7,8,4,4,7,6,3,9,5,6,6,4,5,4,6,3,4,10,6,5,6,5,3,10,4,3,4,6,5,6,3,6,3,34,5,5,9,5,3,0,6,3,5,2,3,5,2,7,9,43,5,4,6,2,6,3,5,6,7,7,4,4,5,6,7,5,30,2,5,4,5,1,7,3,2,3,1,4,7,4,5,8,3
13,6,9,13,6,8,8,4,5,7,4,14,18,4,6,7,14,1,10,6,8,4,12,7,10,6,6,7,6,6,4,6,7,10,7,4,1,3,16,2,3,4,7,4,5,6,5,8,4,2,22,1,3,5,4,10,0,5,6,1,5,3,2,2,2,3,36,2,2,4,3,5,5,2,7,7,4,3,5,4,7,6,2,28,6,5,1,5,5,7,3,3,7,3,5,5,4,4,5,6
13,2,6,10,7,8,6,5,9,7,9,15,18,10,6,7,5,4,3,6,8,5,4,6,6,7,4,4,5,7,2,9,6,4,13,7,4,3,6,6,3,8,6,3,9,3,3,3,4,7,35,6,3,8,6,4,0,4,4,2,9,7,4,4,5,1,34,6,3,8,6,8,5,6,6,8,3,4,4,5,7,4,3,35,5,7,6,7,1,2,7,5,4,4,4,5,4,5,2,7
13,3,3,8,8,5,14,4,7,7,3,15,18,7,3,7,8,4,7,7,2,5,3,2,10,8,3,5,7,4,9,8,4,8,10,1,5,4,9,3,2,4,4,4,2,2,2,6,6,5,28,3,3,6,7,3,2,2,7,4,1,4,9,7,3,3,24,5,3,5,3,4,1,3,2,2,5,6,2,5,3,3,5,37,6,5,4,4,9,5,3,7,2,4,3,3,6,6,5,1
16,8,12,8,5,3,9,1,6,9,3,12,9,5,9,7,5,3,12,2,4,8,1,8,15,11,3,7,5,7,5,6,3,5,9,1,2,5,6,3,6,5,4,10,2,4,4,3,7,1,39,8,6,6,4,4,5,2,6,1,4,6,7,7,8,6,33,1,3,4,4,4,2,5,7,5,4,7,5,3,7,6,5,33,7,5,2,6,7,2,3,7,6,7,3,5,2,4,5,12
15,10,12,8,4,3,9,4,8,5,1,8,14,5,6,7,11,5,8,2,12,9,7,1,7,6,5,7,8,3,0,5,3,6,5,4,8,1,12,1,6,6,7,5,2,7,6,4,3,8,35,3,5,7,2,8,6,4,7,3,2,3,4,4,4,4,37,7,5,5,3,6,6,6,7,5,8,0,8,2,4,6,4,36,7,3,4,4,8,6,5,3,3,1,7,4,2,3,6,0
16,4,5,5,10,4,12,4,15,8,4,7,12,4,9,6,12,4,7,5,10,4,5,6,8,2,3,10,3,6,3,9,3,8,5,5,7,3,10,3,1,8,6,3,4,6,5,2,7,6,45,6,5,7,4,2,4,8,8,4,5,3,4,2,4,3,33,4,2,5,6,1,4,7,6,1,5,3,4,4,6,4,4,38,7,2,4,4,6,3,5,2,4,4,4,2,7,9,6,9
15,4,7,14,8,11,6,9,6,9,2,11,14,7,4,5,7,3,6,1,8,10,3,3,8,6,1,8,5,4,6,10,4,6,6,2,6,3,6,4,2,6,3,6,3,2,9,4,8,3,36,3,1,1,5,3,4,3,4,5,7,6,6,4,4,6,38,7,3,4,5,5,3,5,4,5,5,4,12,4,6,1,4,30,4,2,6,2,4,5,4,6,6,6,4,4,6,1,2,5
11,8,3,7,3,7,7,2,6,7,3,10,10,4,5,10,9,1,9,4,2,6,6,5,6,10,3,9,7,6,5,9,3,9,6,7,6,5,13,6,4,7,6,5,7,4,1,3,7,3,31,4,2,6,6,6,2,2,6,6,3,3,10,6,4,5,28,4,4,4,4,3,6,6,3,2,1,2,4,2,3,6,7,29,6,4,6,3,4,5,7,4,2,4,3,6,6,5,2,6
11,11,7,13,4,6,12,2,2,8,3,13,8,1,6,6,10,2,5,3,16,7,6,5,8,7,3,10,6,6,4,4,5,2,9,5,8,3,9,4,2,9,8,5,3,4,2,5,1,4,31,4,4,3,4,8,6,4,6,3,1,3,4,7,1,4,41,5,1,7,9,9,7,2,4,4,5,1,5,6,4,6,7,29,6,5,1,5,4,6,3,3,5,6,2,4,10,8,4,6
20,8,8,11,14,12,6,8,7,12,5,17,18,6,10,7,9,4,10,7,4,5,8,4,10,6,6,5,9,5,5,9,4,7,2,6,6,8,9,2,1,5,7,4,2,3,7,3,7,3,37,2,3,7,5,7,6,7,6,8,7,8,3,6,5,5,43,0,9,4,3,9,5,8,7,5,5,7,7,5,3,3,7,31,5,3,5,4,3,6,5,2,2,0,3,1,6,4,4,5
18,11,9,14,9,9,5,9,9,8,7,9,15,3,8,6,13,5,3,7,9,5,10,5,6,7,4,6,10,4,2,8,6,3,13,3,3,6,9,6,2,6,4,6,8,6,1,9,4,3,29,1,5,3,3,2,5,2,5,8,5,5,2,5,4,3,34,4,4,1,6,3,5,1,4,4,2,5,4,5,6,5,7,41,6,5,5,8,2,5,2,7,6,4,1,6,6,4,7,3
19,9,15,10,6,12,8,2,5,14,8,11,14,4,3,17,9,7,12,7,3,4,5,6,8,8,3,9,3,7,6,5,7,6,7,2,4,2,11,7,3,7,2,6,2,7,4,1,4,6,31,7,3,5,1,3,2,7,3,3,8,4,5,5,3,2,39,4,2,2,4,4,6,3,6,5,3,5,7,5,8,6,5,41,2,7,7,6,5,10,5,0,9,4,4,1,1,4,3,2
